TRANS_DATE,TRANS_CODE,TRANS_SHARES
2015-12-08,M,25000.0
2015-12-08,A,9630.0
2015-12-08,S,4068.0
2015-12-08,S,3270.0
2015-12-08,S,1764.0
2015-12-08,S,2851.0
2015-12-08,A,1720.0
2015-12-08,A,5503.0
2015-12-08,A,3164.0
2015-12-08,A,1720.0
2015-12-08,A,3164.0
2015-12-08,A,2064.0
2015-10-07,S,100.0
2015-10-07,M,1700.0
2015-10-07,S,700.0
2015-10-07,S,900.0
2015-11-05,F,237.0
2015-11-05,F,125.0
2015-11-05,F,284.0
2015-11-05,F,241.0
2015-11-05,F,335.0
2015-11-05,F,215.0
2015-11-05,F,186.0
2015-11-05,F,1203.0
2015-11-05,F,215.0
2015-11-05,F,284.0
2015-11-05,F,215.0
2015-03-31,A,70.0
2015-06-30,A,68.0
2015-11-03,S,158.0
2015-09-30,A,145.0
2015-09-30,A,66.0
2015-09-29,S,1100.0
2015-09-29,S,200.0
2015-09-29,S,100.0
2015-09-29,S,200.0
2015-09-29,S,400.0
2011-05-26,M,25000.0
2011-05-26,S,25000.0
2011-06-28,S,15000.0
2011-06-28,M,15000.0
2011-04-27,S,400.0
2011-04-27,S,4100.0
2011-04-27,S,500.0
2011-05-25,S,1400.0
2011-05-25,S,1000.0
2011-05-25,S,2600.0
2011-06-23,S,7447.0
2011-06-23,S,17553.0
2011-06-23,M,25000.0
2011-06-22,S,3800.0
2011-06-22,S,1200.0
2011-05-19,M,15000.0
2011-06-17,M,3500.0
2011-06-17,S,3500.0
2011-06-17,S,500.0
2011-06-17,M,500.0
2011-04-20,S,1500.0
2011-04-20,M,1500.0
2011-04-20,S,3500.0
2011-04-20,M,3500.0
2011-05-18,S,3500.0
2011-05-18,M,1500.0
2011-05-18,S,1500.0
2011-05-18,M,3500.0
2011-06-16,M,12500.0
2011-06-16,S,5000.0
2011-06-16,M,5000.0
2011-06-16,M,12500.0
2011-05-17,M,1667.0
2011-05-17,S,13333.0
2011-05-17,M,13333.0
2011-05-17,S,1667.0
2011-04-18,S,1200.0
2011-04-18,M,1200.0
2011-04-18,M,2800.0
2011-04-18,S,2800.0
2011-04-14,M,25000.0
2011-04-14,S,25000.0
2011-05-12,M,18800.0
2011-05-12,S,18800.0
2011-05-12,S,6200.0
2011-05-12,M,6200.0
2011-06-14,S,15000.0
2011-06-14,M,15000.0
2011-04-13,S,8800.0
2011-04-13,M,8800.0
2011-04-14,M,7000.0
2011-04-13,M,1200.0
2011-04-13,S,1200.0
2011-04-14,S,7000.0
2011-04-13,S,300.0
2011-04-13,S,4700.0
2011-04-12,S,633.0
2011-04-12,M,4566.0
2011-04-12,S,4566.0
2011-04-12,M,434.0
2011-04-12,M,633.0
2011-04-12,S,6867.0
2011-04-12,M,6867.0
2011-04-12,S,513.0
2011-04-12,M,513.0
2011-04-12,S,4487.0
2011-04-12,M,4487.0
2011-04-12,S,434.0
2011-05-11,M,3300.0
2011-05-11,S,3300.0
2011-05-11,S,1700.0
2011-05-11,M,1700.0
2011-06-09,S,21887.0
2011-06-09,M,25000.0
2011-06-09,S,3113.0
2011-05-10,A,1440.0
2011-05-10,A,1440.0
2011-05-10,S,5006.0
2011-05-10,M,1400.0
2011-05-10,S,1400.0
2011-05-10,M,1094.0
2011-05-10,S,1094.0
2011-05-10,M,3376.0
2011-05-10,S,3376.0
2011-05-10,M,900.0
2011-05-10,S,900.0
2011-05-10,M,724.0
2011-05-10,S,724.0
2011-05-10,M,3329.0
2011-05-10,S,3329.0
2011-05-10,M,900.0
2011-05-10,S,900.0
2011-05-10,M,771.0
2011-05-10,S,771.0
2011-05-10,M,5006.0
2011-05-10,A,1440.0
2011-05-10,A,1440.0
2011-05-10,A,1440.0
2011-05-10,A,1440.0
2011-05-10,A,1440.0
2011-05-09,F,720.0
2011-05-10,A,1440.0
2011-06-08,S,1900.0
2011-06-08,S,3100.0
2011-06-02,S,1200.0
2011-06-02,S,800.0
2011-06-02,M,800.0
2011-06-01,S,1000.0
2011-06-01,M,1000.0
2011-06-01,S,9000.0
2011-06-01,M,9000.0
2011-04-28,S,948.0
2011-04-28,M,948.0
2011-04-28,S,24052.0
2011-04-28,M,24052.0
2011-05-31,S,15000.0
2011-05-31,M,15000.0
2011-03-30,S,1300.0
2011-03-30,S,2100.0
2011-03-30,S,1600.0
2020-10-20,S,3000.0
2020-10-20,S,1000.0
2020-11-17,S,2000.0
2020-11-17,S,1000.0
2020-11-18,S,218.0
2020-11-14,F,116.0
